avg_latency_hops,avg_latency_ms,bandwidth_mbps,cache_hit_ratio,cache_hits,cache_misses,cache_policy,cache_size,completed_requests,consumer_count,data_tx,failed_edge,forwarding,interest_lifetime_ms,interest_tx,items_per_prefix,link_delay_ms,nodes,pit_capacity,pit_overflow_drops,producer_count,producer_serves,queue_drops,queue_limit_packets,requests,retransmissions,seed,system,timed_out_requests,topology,verification_failures,workload,zipf_alpha
7.042016806722689,69.63803697478977,25.0,0.0,0.0,119.0,lfu,8,119.0,4,419.0,,best-route,250.0,419.0,80,8.0,12,256,0.0,3,0.0,281.0,64,400.0,0.0,12,ip,0.0,mesh,0.0,zipf,0.8
1.6462585034013606,60.54299102040807,25.0,0.40476190476190477,119.0,931.0,lfu,8,294.0,4,502.0,,best-route,250.0,509.0,80,8.0,12,256,0.0,3,175.0,0.0,64,400.0,141.0,12,ndn,106.0,mesh,0.0,zipf,1.2
7.042016806722689,69.63803697478977,25.0,0.0,0.0,119.0,lfu,8,119.0,4,419.0,,best-route,250.0,419.0,80,8.0,12,256,0.0,3,0.0,281.0,64,400.0,0.0,12,ip,0.0,mesh,0.0,zipf,1.2
1.855191256830601,53.171019016393316,25.0,0.3442622950819672,126.0,1032.0,lfu,16,366.0,4,694.0,,best-route,250.0,697.0,80,8.0,12,256,0.0,3,240.0,0.0,64,400.0,61.0,12,ndn,34.0,mesh,0.0,zipf,0.8
7.042016806722689,69.63803697478977,25.0,0.0,0.0,119.0,lfu,16,119.0,4,419.0,,best-route,250.0,419.0,80,8.0,12,256,0.0,3,0.0,281.0,64,400.0,0.0,12,ip,0.0,mesh,0.0,zipf,0.8
1.2878338278931751,44.113266706231386,25.0,0.5667655786350149,191.0,749.0,lfu,16,337.0,4,446.0,,best-route,250.0,450.0,80,8.0,12,256,0.0,3,146.0,0.0,64,400.0,90.0,12,ndn,63.0,mesh,0.0,zipf,1.2
7.042016806722689,69.63803697478977,25.0,0.0,0.0,119.0,lfu,16,119.0,4,419.0,,best-route,250.0,419.0,80,8.0,12,256,0.0,3,0.0,281.0,64,400.0,0.0,12,ip,0.0,mesh,0.0,zipf,1.2
1.5826558265582655,46.54893962059611,25.0,0.44986449864498645,166.0,892.0,lfu,32,369.0,4,598.0,,best-route,250.0,602.0,80,8.0,12,256,0.0,3,203.0,0.0,64,400.0,56.0,12,ndn,31.0,mesh,0.0,zipf,0.8
7.042016806722689,69.63803697478977,25.0,0.0,0.0,119.0,lfu,32,119.0,4,419.0,,best-route,250.0,419.0,80,8.0,12,256,0.0,3,0.0,281.0,64,400.0,0.0,12,ip,0.0,mesh,0.0,zipf,0.8
1.0659025787965617,38.554206074498516,25.0,0.6389684813753582,223.0,639.0,lfu,32,349.0,4,381.0,,best-route,250.0,385.0,80,8.0,12,256,0.0,3,126.0,0.0,64,400.0,77.0,12,ndn,51.0,mesh,0.0,zipf,1.2
